SOC difficulty,title
1.00,Chief executives and senior officials
1,Elected officers and representatives
1,Production managers and directors in manufacturing
1,Production managers and directors in construction
1,Production managers and directors in mining and energy
1,Financial managers and directors
1,Marketing and sales directors
1,Purchasing managers and directors
1,Advertising and public relations directors
1,Human resource managers and directors
1,Information technology and telecommunications directors
1,Functional managers and directors n.e.c.
1,Financial institution managers and directors
1,Managers and directors in transport and distribution
1,Managers and directors in storage and warehousing
1,Officers in armed forces
1,Senior police officers
1,"Senior officers in fire, ambulance, prison and related services"
1,Health services and public health managers and directors
1,Social services managers and directors
1,Managers and directors in retail and wholesale
1,Managers and proprietors in agriculture and horticulture
1,"Managers and proprietors in forestry, fishing and related services"
1,Hotel and accommodation managers and proprietors
1,Restaurant and catering establishment managers and proprietors
1,Publicans and managers of licensed premises
1,Leisure and sports managers
1,Travel agency managers and proprietors
1,Health care practice managers
1,"Residential, day and domiciliary care managers and proprietors"
1,"Property, housing and estate managers"
1,Garage managers and proprietors
1,Hairdressing and beauty salon managers and proprietors
1,Shopkeepers and proprietors â€“ wholesale and retail
1,Waste disposal and environmental services managers
1,Managers and proprietors in other services n.e.c.
2,Chemical scientists
2,Biological scientists and biochemists
2,Physical scientists
2,Social and humanities scientists
2,Natural and social science professionals n.e.c.
2,Civil engineers
2,Mechanical engineers
2,Electrical engineers
2,Electronics engineers
2,Design and development engineers
2,Production and process engineers
2,Engineering professionals n.e.c.
2,IT specialist managers
2,IT project and programme managers
2,"IT business analysts, architects and systems designers"
2,Programmers and software development professionals
2,Web design and development professionals
2,Information technology and telecommunications professionals n.e.c.
2,Conservation professionals
2,Environment professionals
2,Research and development managers
2,Medical practitioners
2,Psychologists
2,Pharmacists
2,Ophthalmic opticians
2,Dental practitioners
2,Veterinarians
2,Medical radiographers
2,Podiatrists
2,Health professionals n.e.c.
2,Physiotherapists
2,Occupational therapists
2,Speech and language therapists
2,Therapy professionals n.e.c.
2,Nurses
2,Midwives
2,Higher education teaching professionals
2,Further education teaching professionals
2,Secondary education teaching professionals
2,Primary and nursery education teaching professionals
2,Special needs education teaching professionals
2,Senior professionals of educational establishments
2,Education advisers and school inspectors
2,Teaching and other educational professionals n.e.c.
2,Barristers and judges
2,Solicitors
2,Legal professionals n.e.c.
2,Chartered and certified accountants
2,Management consultants and business analysts
2,Business and financial project management professionals
2,"Actuaries, economists and statisticians"
2,Business and related research professionals
2,"Business, research and administrative professionals n.e.c."
2,Architects
2,Town planning officers
2,Quantity surveyors
2,Chartered surveyors
2,Chartered architectural technologists
2,Construction project managers and related professionals
2,Social workers
2,Probation officers
2,Clergy
2,Welfare professionals n.e.c.
2,Librarians
2,Archivists and curators
2,Quality control and planning engineers
2,Quality assurance and regulatory professionals
2,Environmental health professionals
2,"Journalists, newspaper and periodical editors"
2,Public relations professionals
2,Advertising accounts managers and creative directors
3,Laboratory technicians
3,Electrical and electronics technicians
3,Engineering technicians
3,Building and civil engineering technicians
3,Quality assurance technicians
3,"Planning, process and production technicians"
3,"Science, engineering and production technicians n.e.c."
3,Architectural and town planning technicians
3,Draughtspersons
3,IT operations technicians
3,IT user support technicians
3,Paramedics
3,Dispensing opticians
3,Pharmaceutical technicians
3,Medical and dental technicians
3,Health associate professionals n.e.c.
3,Youth and community workers
3,Child and early years officers
3,Housing officers
3,Counsellors
3,Welfare and housing associate professionals n.e.c.
3,NCOs and other ranks
3,Police officers (sergeant and below)
3,Fire service officers (watch manager and below)
3,Prison service officers (below principal officer)
3,Police community support officers
3,Protective service associate professionals n.e.c.
3,Artists
3,"Authors, writers and translators"
3,"Actors, entertainers and presenters"
3,Dancers and choreographers
3,Musicians
3,"Arts officers, producers and directors"
3,"Photographers, audio-visual and broadcasting equipment operators"
3,Graphic designers
3,"Product, clothing and related designers"
3,Sports players
3,"Sports coaches, instructors and officials"
3,Fitness instructors
3,Air traffic controllers
3,Aircraft pilots and flight engineers
3,Ship and hovercraft officers
3,Legal associate professionals
3,"Estimators, valuers and assessors"
3,Brokers
3,Insurance underwriters
3,Finance and investment analysts and advisers
3,Taxation experts
3,Importers and exporters
3,Financial and accounting technicians
3,Financial accounts managers
3,Business and related associate professionals n.e.c.
3,Buyers and procurement officers
3,Business sales executives
3,Marketing associate professionals
3,Estate agents and auctioneers
3,Sales accounts and business development managers
3,Conference and exhibition managers and organisers
3,Conservation and environmental associate professionals
3,Public services associate professionals
3,Human resources and industrial relations officers
3,Vocational and industrial trainers and instructors
3,Careers advisers and vocational guidance specialists
3,Inspectors of standards and regulations
3,Health and safety officers
4,National government administrative occupations
4,Local government administrative occupations
4,Officers of non-governmental organisations
4,Credit controllers
4,"Book-keepers, payroll managers and wages clerks"
4,Bank and post office clerks
4,Finance officers
4,Financial administrative occupations n.e.c.
4,Records clerks and assistants
4,Pensions and insurance clerks and assistants
4,Stock control clerks and assistants
4,Transport and distribution clerks and assistants
4,Library clerks and assistants
4,Human resources administrative occupations
4,Sales administrators
4,Other administrative occupations n.e.c.
4,Office managers
4,Office supervisors
4,Medical secretaries
4,Legal secretaries
4,School secretaries
4,Company secretaries
4,Personal assistants and other secretaries
4,Receptionists
4,Typists and related keyboard occupations
5,Farmers
5,Horticultural trades
5,Gardeners and landscape gardeners
5,Groundsmen and greenkeepers
5,Agricultural and fishing trades n.e.c.
5,Smiths and forge workers
5,"Moulders, core makers and die casters"
5,Sheet metal workers
5,"Metal plate workers, and riveters"
5,Welding trades
5,Pipe fitters
5,Metal machining setters and setter-operators
5,"Tool makers, tool fitters and markers-out"
5,Metal working production and maintenance fitters
5,Precision instrument makers and repairers
5,Air-conditioning and refrigeration engineers
5,"Vehicle technicians, mechanics and electricians"
5,Vehicle body builders and repairers
5,Vehicle paint technicians
5,Aircraft maintenance and related trades
5,Boat and ship builders and repairers
5,Rail and rolling stock builders and repairers
5,Electricians and electrical fitters
5,Telecommunications engineers
5,"TV, video and audio engineers"
5,IT engineers
5,Electrical and electronic trades n.e.c.
5,"Skilled metal, electrical and electronic trades supervisors"
5,Steel erectors
5,Bricklayers and masons
5,"Roofers, roof tilers and slaters"
5,Plumbers and heating and ventilating engineers
5,Carpenters and joiners
5,"Glaziers, window fabricators and fitters"
5,Construction and building trades n.e.c.
5,Plasterers
5,Floorers and wall tilers
5,Painters and decorators
5,Construction and building trades supervisors
5,Weavers and knitters
5,Upholsterers
5,Footwear and leather working trades
5,Tailors and dressmakers
5,"Textiles, garments and related trades n.e.c."
5,Pre-press technicians
5,Printers
5,Print finishing and binding workers
5,Butchers
5,Bakers and flour confectioners
5,Fishmongers and poultry dressers
5,Chefs
5,Cooks
5,Catering and bar managers
5,"Glass and ceramics makers, decorators and finishers"
5,Furniture makers and other craft woodworkers
5,Florists
5,Other skilled trades n.e.c.
6,Nursery nurses and assistants
6,Childminders and related occupations
6,Playworkers
6,Teaching assistants
6,Educational support assistants
6,Veterinary nurses
6,Pest control officers
6,Animal care services occupations n.e.c.
6,Nursing auxiliaries and assistants
6,Ambulance staff (excluding paramedics)
6,Dental nurses
6,Houseparents and residential wardens
6,Care workers and home carers
6,Senior care workers
6,Care escorts
6,"Undertakers, mortuary and crematorium assistants"
6,Sports and leisure assistants
6,Travel agents
6,Air travel assistants
6,Rail travel assistants
6,Leisure and travel service occupations n.e.c.
6,Hairdressers and barbers
6,Beauticians and related occupations
6,Housekeepers and related occupations
6,Caretakers
6,Cleaning and housekeeping managers and supervisors
7,Sales and retail assistants
7,Retail cashiers and check-out operators
7,Telephone salespersons
7,Pharmacy and other dispensing assistants
7,Vehicle and parts salespersons and advisers
7,Collector salespersons and credit agents
7,"Debt, rent and other cash collectors"
7,Roundspersons and van salespersons
7,Market and street traders and assistants
7,Merchandisers and window dressers
7,Sales related occupations n.e.c.
7,Sales supervisors
7,Call and contact centre occupations
7,Telephonists
7,Communication operators
7,Market research interviewers
7,Customer service occupations n.e.c.
7,Customer service managers and supervisors
8,"Food, drink and tobacco process operatives"
8,Glass and ceramics process operatives
8,Textile process operatives
8,Chemical and related process operatives
8,Rubber process operatives
8,Plastics process operatives
8,Metal making and treating process operatives
8,Electroplaters
8,Process operatives n.e.c.
8,Paper and wood machine operatives
8,Coal mine operatives
8,Quarry workers and related operatives
8,Energy plant operatives
8,Metal working machine operatives
8,Water and sewerage plant operatives
8,Printing machine assistants
8,Plant and machine operatives n.e.c.
8,Assemblers (electrical and electronic products)
8,Assemblers (vehicles and metal goods)
8,Routine inspectors and testers
8,"Weighers, graders and sorters"
8,"Tyre, exhaust and windscreen fitters"
8,Sewing machinists
8,Assemblers and routine operatives n.e.c.
8,"Scaffolders, stagers and riggers"
8,Road construction operatives
8,Rail construction and maintenance operatives
8,Construction operatives n.e.c.
8,Large goods vehicle drivers
8,Van drivers
8,Bus and coach drivers
8,Taxi and cab drivers and chauffeurs
8,Driving instructors
8,Crane drivers
8,Fork-lift truck drivers
8,Agricultural machinery drivers
8,Mobile machine drivers and operatives n.e.c.
8,Train and tram drivers
8,Marine and waterways transport operatives
8,Air transport operatives
8,Rail transport operatives
8,Other drivers and transport operatives n.e.c.
9,Farm workers
9,Forestry workers
9,Fishing and other elementary agriculture occupations n.e.c.
9,Elementary construction occupations
9,Industrial cleaning process occupations
9,"Packers, bottlers, canners and fillers"
9,Elementary process plant occupations n.e.c.
9,"Postal workers, mail sorters, messengers and couriers"
9,Elementary administration occupations n.e.c.
9,Window cleaners
9,Street cleaners
9,Cleaners and domestics
9,"Launderers, dry cleaners and pressers"
9,Refuse and salvage occupations
9,Vehicle valeters and cleaners
9,Elementary cleaning occupations n.e.c.
9,Security guards and related occupations
9,Parking and civil enforcement occupations
9,School midday and crossing patrol occupations
9,Elementary security occupations n.e.c.
9,Shelf fillers
9,Elementary sales occupations n.e.c.
9,Elementary storage occupations
9,Hospital porters
9,Kitchen and catering assistants
9,Waiters and waitresses
9,Bar staff
9,Leisure and theme park attendants
9,Other elementary services occupations n.e.c.
